Time,Growing Degree Days,Air Temperature Secondary (°C),Atmospheric Pressure (kPa),Rain Bucket Capacity (mL),Calculated Fallen Rain (mm),East Wind Speed (m/s),Wind Gust (m/s),Humidity Sensor Temperature (°C),Latitude,Longitude,North Wind Speed (m/s),Precipitation (mm),Relative Humidity (%),Rain Bucket Tips per Minute,Vapor Pressure (kPa),Wind Direction (°),Wind Speed (m/s),X Orientation,Y Orientation
2024-01-17T00:04:24.000Z,,22.70,100.54,5.00,0.00,0.03,0.09,23.00,38.621787,-90.219297,-0.02,0.00,7.00,0.00,0.20,117.30,0.04,-1.40,-0.40
2024-01-17T00:19:24.000Z,,23.10,100.54,5.00,0.00,0.03,0.08,23.10,,,-0.01,0.00,7.00,0.00,0.20,111.90,0.03,-0.80,-0.80
2024-01-17T00:34:24.000Z,,23.20,100.52,5.00,0.00,0.04,0.18,23.10,,,0.00,0.00,7.00,0.00,0.20,90.50,0.04,-1.00,-0.70
2024-01-17T00:34:56.289Z,13.00,,,,,,,,,,,,,,,,,,
2024-01-17T00:49:24.000Z,,23.20,100.51,5.00,0.00,0.04,0.15,23.20,,,-0.03,0.00,7.00,0.00,0.20,129.50,0.05,-1.30,-0.60
2024-01-17T01:04:24.000Z,,22.90,100.52,5.00,0.00,0.04,0.16,23.10,,,-0.07,0.00,7.00,0.00,0.19,149.00,0.08,-1.00,-0.70
2024-01-17T01:19:24.000Z,,23.00,100.51,5.00,0.00,0.01,0.06,23.00,,,-0.02,0.00,7.00,0.00,0.19,160.10,0.02,-1.20,-0.70
2024-01-17T01:34:24.000Z,,23.00,100.51,5.00,0.00,0.02,0.22,23.00,,,-0.03,0.00,7.00,0.00,0.19,152.00,0.04,-1.10,-0.40
2024-01-17T01:49:24.000Z,,23.00,100.50,5.00,0.00,0.04,0.12,23.00,,,-0.02,0.00,7.00,0.00,0.19,113.50,0.04,-1.30,-0.60
2024-01-17T02:04:24.000Z,,23.00,100.50,5.00,0.00,0.04,0.11,23.00,,,-0.01,0.00,7.00,0.00,0.19,105.30,0.05,-1.20,-0.60
2024-01-17T02:19:24.000Z,,23.10,100.49,5.00,0.00,0.04,0.15,23.10,,,0.01,0.00,7.00,0.00,0.19,71.90,0.05,-1.20,-0.60
2024-01-17T02:34:24.000Z,,23.10,100.50,5.00,0.00,0.05,0.16,23.10,,,0.00,0.00,7.00,0.00,0.19,85.10,0.05,-1.00,-0.80
2024-01-17T02:49:24.000Z,,23.10,100.49,5.00,0.00,0.04,0.14,23.10,38.621787,-90.219297,0.01,0.00,7.00,0.00,0.19,70.00,0.04,-1.40,-0.70
2024-01-17T03:04:24.000Z,,23.20,100.48,5.00,0.00,0.04,0.12,23.10,38.621787,-90.219297,0.02,0.00,6.00,0.00,0.19,61.40,0.04,-1.10,-0.70
2024-01-17T03:19:24.000Z,,23.20,100.47,5.00,0.00,0.04,0.11,23.20,38.621787,-90.219297,0.01,0.00,7.00,0.00,0.19,74.90,0.04,-1.40,-0.40
2024-01-17T03:34:24.000Z,,23.20,100.46,5.00,0.00,0.05,0.15,23.20,38.621787,-90.219297,0.02,0.00,6.00,0.00,0.19,66.70,0.05,-1.30,-0.40
2024-01-17T03:34:56.203Z,13.00,,,,,,,,,,,,,,,,,,
2024-01-17T03:49:24.000Z,,23.00,100.46,5.00,0.00,0.05,0.21,23.20,38.621787,-90.219297,-0.08,0.00,6.00,0.00,0.18,147.40,0.09,-1.20,-0.60
2024-01-17T04:04:24.000Z,,22.90,100.44,5.00,0.00,0.03,0.18,23.00,,,-0.04,0.00,6.00,0.00,0.18,145.50,0.05,-1.00,-0.60
2024-01-17T04:19:24.000Z,,22.90,100.43,5.00,0.00,0.01,0.05,23.00,,,-0.01,0.00,6.00,0.00,0.18,119.00,0.01,-0.90,-0.50
2024-01-17T04:34:24.000Z,,23.00,100.43,5.00,0.00,0.02,0.04,22.90,,,-0.01,0.00,6.00,0.00,0.18,109.00,0.02,-1.00,-0.90
2024-01-17T04:49:24.000Z,,23.00,100.42,5.00,0.00,0.02,0.04,23.00,,,-0.01,0.00,6.00,0.00,0.18,109.80,0.02,-1.50,-0.30
2024-01-17T05:04:24.000Z,,23.00,100.40,5.00,0.00,0.02,0.06,23.00,,,-0.01,0.00,6.00,0.00,0.18,115.70,0.02,-1.00,-0.70
2024-01-17T05:19:24.000Z,,23.00,100.40,5.00,0.00,0.02,0.05,23.00,38.621787,-90.219297,-0.01,0.00,6.00,0.00,0.18,121.80,0.02,-1.40,-0.60
2024-01-17T05:34:24.000Z,,23.00,100.39,5.00,0.00,0.03,0.10,23.10,38.621787,-90.219297,-0.03,0.00,6.00,0.00,0.18,133.40,0.04,-1.20,-0.70
2024-01-17T05:49:24.000Z,,22.90,100.38,5.00,0.00,0.04,0.17,23.10,38.621787,-90.219297,-0.07,0.00,6.00,0.00,0.18,150.30,0.08,-1.40,-0.50
2024-01-17T06:04:24.000Z,,22.80,100.36,5.00,0.00,0.02,0.19,23.00,38.621787,-90.219297,-0.06,0.00,6.00,0.00,0.18,163.30,0.06,-1.40,-0.60
2024-01-17T06:19:24.000Z,,22.90,100.34,5.00,0.00,0.00,0.09,22.90,38.621787,-90.219297,-0.04,0.00,6.00,0.00,0.18,181.10,0.04,-0.80,-0.80
2024-01-17T06:34:24.000Z,,23.00,100.33,5.00,0.00,0.03,0.09,23.00,38.621787,-90.219297,-0.03,0.00,6.00,0.00,0.18,139.00,0.04,-0.90,-0.70
2024-01-17T06:34:56.117Z,12.95,,,,,,,,,,,,,,,,,,
2024-01-17T06:49:24.000Z,,23.00,100.30,5.00,0.00,0.02,0.08,23.00,38.621787,-90.219297,-0.03,0.00,6.00,0.00,0.18,142.70,0.04,-1.60,-0.40
2024-01-17T07:04:24.000Z,,23.00,100.28,5.00,0.00,0.03,0.09,23.00,38.621787,-90.219297,-0.03,0.00,6.00,0.00,0.18,134.10,0.04,-1.20,-0.60
2024-01-17T07:19:24.000Z,,23.00,100.28,5.00,0.00,0.03,0.11,23.00,38.621787,-90.219297,-0.04,0.00,6.00,0.00,0.18,139.30,0.05,-0.80,-0.80
2024-01-17T07:34:24.000Z,,23.00,100.26,5.00,0.00,0.02,0.10,23.10,38.621787,-90.219297,-0.03,0.00,6.00,0.00,0.18,143.00,0.04,-1.00,-1.10
2024-01-17T07:49:24.000Z,,23.00,100.26,5.00,0.00,0.00,0.10,23.10,38.621787,-90.219297,-0.04,0.00,6.00,0.00,0.18,177.40,0.04,-1.00,-0.60
2024-01-17T08:04:24.000Z,,22.90,100.27,5.00,0.00,-0.04,0.12,23.00,38.621787,-90.219297,-0.04,0.00,6.00,0.00,0.18,220.60,0.06,-1.40,-0.40
2024-01-17T08:19:24.000Z,,22.90,100.26,5.00,0.00,-0.04,0.10,23.00,38.621787,-90.219297,-0.03,0.00,6.00,0.00,0.18,227.90,0.05,-1.30,-0.70
2024-01-17T08:34:24.000Z,,22.90,100.26,5.00,0.00,-0.01,0.09,23.00,38.621787,-90.219297,-0.04,0.00,6.00,0.00,0.18,196.30,0.04,-1.50,-0.50
2024-01-17T08:49:24.000Z,,22.90,100.26,5.00,0.00,0.00,0.10,23.00,38.621787,-90.219297,-0.04,0.00,6.00,0.00,0.18,178.90,0.04,-1.20,-0.50
2024-01-17T09:04:24.000Z,,22.90,100.25,5.00,0.00,0.00,0.09,23.00,38.621787,-90.219297,-0.04,0.00,6.00,0.00,0.18,177.10,0.04,-1.40,-0.40
2024-01-17T09:19:24.000Z,,22.90,100.23,5.00,0.00,-0.01,0.10,23.00,38.621787,-90.219297,-0.04,0.00,6.00,0.00,0.18,189.80,0.04,-1.00,-0.70
2024-01-17T09:34:24.000Z,,22.90,100.19,5.00,0.00,-0.01,0.11,23.00,38.621787,-90.219297,-0.04,0.00,7.00,0.00,0.19,191.50,0.04,-1.20,-0.40
2024-01-17T09:34:56.207Z,12.95,,,,,,,,,,,,,,,,,,
2024-01-17T09:49:24.000Z,,23.00,100.18,5.00,0.00,0.02,0.09,23.00,38.621787,-90.219297,-0.04,0.00,7.00,0.00,0.19,153.60,0.04,-1.40,-0.50
2024-01-17T10:04:24.000Z,,23.00,100.15,5.00,0.00,0.04,0.12,23.00,38.621787,-90.219297,0.00,0.00,7.00,0.00,0.19,84.80,0.04,-1.40,-0.60
2024-01-17T10:19:24.000Z,,23.10,100.13,5.00,0.00,0.04,0.13,23.00,38.621787,-90.219297,0.00,0.00,7.00,0.00,0.19,91.00,0.04,-1.20,-0.70
2024-01-17T10:34:24.000Z,,23.10,100.12,5.00,0.00,0.04,0.12,23.10,38.621787,-90.219297,0.01,0.00,7.00,0.00,0.19,69.00,0.04,-1.20,-0.50
2024-01-17T10:49:24.000Z,,23.20,100.12,5.00,0.00,0.03,0.14,23.10,38.621787,-90.219297,0.01,0.00,7.00,0.00,0.19,70.50,0.03,-1.20,-0.50
2024-01-17T11:04:24.000Z,,22.90,100.11,5.00,0.00,0.04,0.16,23.10,38.621787,-90.219297,-0.07,0.00,7.00,0.00,0.18,151.40,0.08,-1.20,-0.60
2024-01-17T11:19:24.000Z,,22.90,100.11,5.00,0.00,0.02,0.15,23.00,38.621787,-90.219297,-0.03,0.00,7.00,0.00,0.18,149.50,0.04,-1.20,-0.60
2024-01-17T11:34:24.000Z,,22.90,100.10,5.00,0.00,0.02,0.04,23.00,38.621787,-90.219297,0.00,0.00,7.00,0.00,0.18,107.00,0.02,-0.90,-0.90
2024-01-17T11:49:24.000Z,,23.00,100.10,5.00,0.00,0.02,0.05,23.00,38.621787,-90.219297,-0.01,0.00,7.00,0.00,0.19,113.60,0.02,-1.00,-0.50
2024-01-17T12:04:24.000Z,,23.00,100.09,5.00,0.00,0.02,0.13,23.00,38.621787,-90.219297,0.00,0.00,7.00,0.00,0.18,81.30,0.02,-1.00,-0.70
2024-01-17T12:19:24.000Z,,23.00,100.08,5.00,0.00,0.02,0.08,23.00,38.621787,-90.219297,0.00,0.00,7.00,0.00,0.18,101.00,0.02,-0.90,-0.60
2024-01-17T12:34:24.000Z,,23.00,100.08,5.00,0.00,0.02,0.05,23.00,38.621787,-90.219297,-0.01,0.00,6.00,0.00,0.18,112.80,0.02,-1.00,-0.60
2024-01-17T12:34:56.178Z,12.95,,,,,,,,,,,,,,,,,,
2024-01-17T12:49:24.000Z,,23.00,100.07,5.00,0.00,0.01,0.06,23.00,38.621787,-90.219297,-0.01,0.00,6.00,0.00,0.18,127.50,0.02,-1.40,-0.50
2024-01-17T13:04:24.000Z,,23.00,100.07,5.00,0.00,0.01,0.05,23.00,38.621787,-90.219297,-0.01,0.00,6.00,0.00,0.18,123.50,0.02,-1.20,-0.50
2024-01-17T13:19:24.000Z,,23.00,100.06,5.00,0.00,0.01,0.05,23.00,38.621787,-90.219297,-0.01,0.00,6.00,0.00,0.18,136.50,0.02,-0.80,-0.90
2024-01-17T13:34:24.000Z,,23.00,100.08,5.00,0.00,0.01,0.05,23.00,38.621787,-90.219297,-0.02,0.00,6.00,0.00,0.18,156.80,0.02,-1.20,-0.70
2024-01-17T13:49:24.000Z,,23.00,100.07,5.00,0.00,0.01,0.05,23.00,38.621787,-90.219297,-0.01,0.00,6.00,0.00,0.18,133.00,0.02,-1.20,-0.70
2024-01-17T14:04:24.000Z,,23.00,100.09,5.00,0.00,0.01,0.06,23.00,38.621787,-90.219297,-0.01,0.00,6.00,0.00,0.18,129.80,0.02,-1.30,-0.40
2024-01-17T14:19:24.000Z,,23.00,100.10,5.00,0.00,0.01,0.06,23.00,38.621787,-90.219297,-0.01,0.00,7.00,0.00,0.18,137.00,0.02,-1.10,-0.80
2024-01-17T14:34:24.000Z,,23.00,100.11,5.00,0.00,0.02,0.06,23.00,38.621787,-90.219297,-0.01,0.00,7.00,0.00,0.19,126.70,0.02,-0.90,-0.80
2024-01-17T14:49:24.000Z,,23.00,100.12,5.00,0.00,0.02,0.14,23.00,38.621787,-90.219297,0.00,0.00,7.00,0.00,0.19,77.50,0.02,-0.90,-0.70
2024-01-17T15:04:24.000Z,,23.10,100.10,5.00,0.00,0.04,0.10,23.00,38.630938,-90.226172,0.01,0.00,7.00,0.00,0.20,70.90,0.04,-1.10,-0.70
2024-01-17T15:19:24.000Z,,23.00,100.09,5.00,0.00,0.02,0.12,23.10,38.630938,-90.226172,-0.03,0.00,8.00,0.00,0.21,151.30,0.03,-1.30,-0.60
2024-01-17T15:34:24.000Z,,22.90,100.09,5.00,0.00,0.05,0.20,23.10,38.630938,-90.226172,-0.08,0.00,8.00,0.00,0.23,146.20,0.10,-1.30,-0.60
2024-01-17T15:34:56.441Z,12.95,,,,,,,,,,,,,,,,,,
2024-01-17T15:49:24.000Z,,23.00,100.09,5.00,0.00,0.02,0.10,23.00,38.630938,-90.226172,0.04,0.00,9.00,0.00,0.24,23.00,0.04,-1.20,-0.90
2024-01-17T16:04:24.000Z,,23.10,100.10,5.00,0.00,0.03,0.08,23.10,38.630938,-90.226172,-0.02,0.00,9.00,0.00,0.25,129.20,0.03,-1.40,-0.90
2024-01-17T16:19:24.000Z,,23.20,100.12,5.00,0.00,0.04,0.11,23.20,38.630938,-90.226172,-0.01,0.00,9.00,0.00,0.25,98.50,0.04,-0.90,-0.80
2024-01-17T16:34:24.000Z,,23.20,100.13,5.00,0.00,0.05,0.19,23.20,38.630938,-90.226172,-0.03,0.00,9.00,0.00,0.26,121.90,0.06,-1.00,-0.80
2024-01-17T16:49:24.000Z,,23.00,100.12,5.00,0.00,0.06,0.23,23.20,38.630938,-90.226172,-0.08,0.00,10.00,0.00,0.28,141.80,0.10,-1.20,-0.70
2024-01-17T17:04:24.000Z,,23.20,100.08,5.00,0.00,0.01,0.07,23.20,38.621787,-90.219297,0.03,0.00,10.00,0.00,0.29,22.10,0.03,-1.30,-0.70
2024-01-17T17:19:24.000Z,,23.30,100.07,5.00,0.00,-0.01,0.11,23.20,38.621787,-90.219297,-0.02,0.00,10.00,0.00,0.29,198.90,0.02,-1.40,-0.40
2024-01-17T17:34:24.000Z,,23.40,100.05,5.00,0.00,0.00,0.08,23.30,38.621787,-90.219297,-0.02,0.00,10.00,0.00,0.30,178.80,0.02,-1.00,-0.60
2024-01-17T17:49:24.000Z,,23.20,100.03,5.00,0.00,0.08,0.21,23.40,38.621787,-90.219297,-0.10,0.00,10.00,0.00,0.30,139.40,0.13,-0.80,-1.00
2024-01-17T18:04:24.000Z,,23.20,100.00,5.00,0.00,0.04,0.17,23.30,38.630938,-90.226172,-0.04,0.00,11.00,0.00,0.30,132.10,0.06,-1.50,-0.70
2024-01-17T18:19:24.000Z,,23.30,99.97,5.00,0.00,-0.02,0.06,23.30,38.630938,-90.226172,-0.02,0.00,11.00,0.00,0.30,217.50,0.03,-1.20,-0.40
2024-01-17T18:34:24.000Z,,23.40,99.95,5.00,0.00,0.01,0.06,23.40,38.630938,-90.226172,-0.02,0.00,11.00,0.00,0.31,148.70,0.03,-0.90,-0.60
2024-01-17T18:34:56.249Z,13.05,,,,,,,,,,,,,,,,,,
2024-01-17T18:49:24.000Z,,22.80,99.94,5.00,0.00,0.05,0.20,23.40,38.630938,-90.226172,-0.04,0.00,11.00,0.00,0.31,128.00,0.07,-1.50,-0.60
2024-01-17T19:04:24.000Z,,23.20,99.92,5.00,0.00,0.05,0.18,23.40,38.621787,-90.219297,-0.05,0.00,11.00,0.00,0.31,132.50,0.07,-0.80,-0.70
2024-01-17T19:19:24.000Z,,23.40,99.90,5.00,0.00,0.01,0.06,23.40,38.621787,-90.219297,-0.01,0.00,11.00,0.00,0.32,124.80,0.02,-1.70,-0.50
2024-01-17T19:34:24.000Z,,23.50,99.85,5.00,0.00,-0.02,0.04,23.40,38.621787,-90.219297,0.00,0.00,11.00,0.00,0.32,284.70,0.02,-1.20,-0.60
2024-01-17T19:49:24.000Z,,23.40,99.85,5.00,0.00,0.07,0.18,23.50,38.621787,-90.219297,-0.04,0.00,12.00,0.00,0.33,122.90,0.08,-0.80,-0.80
2024-01-17T20:04:24.000Z,,23.30,99.85,5.00,0.00,0.05,0.16,23.40,38.621787,-90.219297,-0.03,0.00,12.00,0.00,0.33,125.80,0.06,-0.80,-0.70
2024-01-17T20:19:24.000Z,,23.20,99.82,5.00,0.00,-0.02,0.05,23.40,38.621787,-90.219297,0.01,0.00,12.00,0.00,0.34,298.40,0.02,-1.20,-0.70
2024-01-17T20:34:24.000Z,,23.50,99.81,5.00,0.00,0.00,0.08,23.50,38.621787,-90.219297,-0.02,0.00,12.00,0.00,0.34,182.40,0.02,-1.00,-0.90
2024-01-17T20:49:24.000Z,,23.50,99.81,5.00,0.00,0.06,0.20,23.50,38.621787,-90.219297,-0.08,0.00,12.00,0.00,0.34,143.70,0.10,-1.40,-0.20
2024-01-17T21:04:24.000Z,,23.30,99.80,5.00,0.00,0.08,0.20,23.50,38.621787,-90.219297,-0.09,0.00,12.00,0.00,0.34,138.40,0.11,-1.00,-0.70
2024-01-17T21:19:24.000Z,,23.50,99.79,5.00,0.00,0.02,0.25,23.50,38.621787,-90.219297,-0.04,0.00,12.00,0.00,0.34,155.50,0.04,-1.00,-0.70
2024-01-17T21:34:24.000Z,,23.60,99.76,5.00,0.00,0.03,0.10,23.50,38.621787,-90.219297,-0.02,0.00,12.00,0.00,0.34,129.60,0.03,-1.20,-0.50
2024-01-17T21:34:56.123Z,13.05,,,,,,,,,,,,,,,,,,
2024-01-17T21:49:24.000Z,,23.60,99.77,5.00,0.00,0.05,0.21,23.70,38.621787,-90.219297,-0.06,0.00,11.00,0.00,0.33,136.80,0.08,-1.30,-0.60
2024-01-17T22:04:24.000Z,,23.30,99.76,5.00,0.00,0.09,0.20,23.60,38.621787,-90.219297,-0.09,0.00,11.00,0.00,0.32,136.30,0.12,-1.40,-0.40
2024-01-17T22:19:21.000Z,,,,5.00,0.00,,,,38.621787,-90.219297,,,,0.00,,,,,
2024-01-17T22:34:24.000Z,,23.60,99.74,5.00,0.00,0.02,0.05,23.50,38.621787,-90.219297,-0.01,0.00,11.00,0.00,0.32,117.10,0.02,-1.50,-0.60
2024-01-17T22:49:24.000Z,,23.60,99.75,5.00,0.00,0.05,0.18,23.60,38.621787,-90.219297,-0.06,0.00,11.00,0.00,0.32,138.20,0.08,-1.60,-0.30
2024-01-17T23:04:24.000Z,,23.30,99.75,5.00,0.00,0.09,0.23,23.60,38.621787,-90.219297,-0.11,0.00,11.00,0.00,0.32,141.30,0.14,-1.10,-0.70
2024-01-17T23:19:24.000Z,,23.50,99.75,5.00,0.00,0.02,0.14,23.50,38.621787,-90.219297,-0.04,0.00,11.00,0.00,0.32,150.00,0.05,-0.90,-0.80
2024-01-17T23:34:24.000Z,,23.60,99.75,5.00,0.00,0.03,0.06,23.60,38.621787,-90.219297,-0.02,0.00,11.00,0.00,0.32,133.80,0.04,-0.90,-0.70
2024-01-17T23:49:24.000Z,,23.50,99.74,5.00,0.00,0.05,0.20,23.60,38.621787,-90.219297,-0.05,0.00,11.00,0.00,0.32,136.70,0.07,-0.80,-0.70
2024-01-18T00:04:24.000Z,,23.30,99.75,5.00,0.00,0.07,0.22,23.50,38.621787,-90.219297,-0.09,0.00,11.00,0.00,0.32,142.00,0.12,-1.40,-0.50
2024-01-18T00:19:24.000Z,,23.50,99.76,5.00,0.00,0.01,0.12,23.50,38.621787,-90.219297,-0.04,0.00,11.00,0.00,0.32,161.40,0.04,-1.10,-0.80
2024-01-18T00:34:24.000Z,,23.60,99.75,5.00,0.00,-0.01,0.05,23.60,38.621787,-90.219297,-0.01,0.00,11.00,0.00,0.32,212.80,0.01,-1.10,-0.70
2024-01-18T00:34:56.280Z,13.10,,,,,,,,,,,,,,,,,,
2024-01-18T00:49:24.000Z,,23.50,99.76,5.00,0.00,0.06,0.19,23.60,38.621787,-90.219297,-0.03,0.00,11.00,0.00,0.31,115.50,0.06,-1.40,-0.30
2024-01-18T01:04:24.000Z,,23.40,99.75,5.00,0.00,0.04,0.15,23.50,38.621787,-90.219297,-0.02,0.00,11.00,0.00,0.31,114.70,0.05,-0.70,-0.80
2024-01-18T01:19:24.000Z,,23.40,99.75,5.00,0.00,-0.03,0.06,23.50,38.621787,-90.219297,0.01,0.00,11.00,0.00,0.31,283.40,0.03,-0.80,-0.80
2024-01-18T01:34:24.000Z,,23.40,99.71,5.00,0.00,-0.03,0.08,23.50,38.621787,-90.219297,0.01,0.00,11.00,0.00,0.31,283.70,0.03,-1.40,-0.40
2024-01-18T01:49:24.000Z,,23.50,99.72,5.00,0.00,0.04,0.19,23.50,38.621787,-90.219297,-0.02,0.00,11.00,0.00,0.31,122.50,0.04,-1.20,-0.70
2024-01-18T02:04:24.000Z,,23.30,99.74,5.00,0.00,0.06,0.15,23.50,38.621787,-90.219297,-0.03,0.00,10.00,0.00,0.30,119.20,0.07,-1.20,-0.70
2024-01-18T02:19:24.000Z,,23.40,99.75,5.00,0.00,-0.01,0.12,23.40,38.621787,-90.219297,0.04,0.00,10.00,0.00,0.30,340.70,0.04,-1.30,-0.40
2024-01-18T02:34:24.000Z,,23.40,99.77,5.00,0.00,-0.03,0.07,23.40,38.621787,-90.219297,0.02,0.00,10.00,0.00,0.30,308.10,0.04,-1.20,-0.70
2024-01-18T02:49:24.000Z,,23.50,99.77,5.00,0.00,-0.02,0.08,23.40,38.621787,-90.219297,0.02,0.00,10.00,0.00,0.30,317.80,0.03,-0.70,-0.70
2024-01-18T03:04:24.000Z,,23.30,99.76,5.00,0.00,0.08,0.17,23.40,38.621787,-90.219297,-0.05,0.00,10.00,0.00,0.29,122.30,0.09,-1.10,-0.70
2024-01-18T03:19:24.000Z,,23.30,99.77,5.00,0.00,0.04,0.18,23.40,38.621787,-90.219297,0.03,0.00,10.00,0.00,0.29,56.20,0.05,-0.80,-0.80
2024-01-18T03:34:24.000Z,,23.40,99.82,5.00,0.00,-0.02,0.09,23.40,38.621787,-90.219297,0.04,0.00,10.00,0.00,0.29,330.30,0.04,-1.20,-0.50
2024-01-18T03:34:56.071Z,13.10,,,,,,,,,,,,,,,,,,
2024-01-18T03:49:24.000Z,,23.40,99.86,5.00,0.00,-0.02,0.07,23.40,38.621787,-90.219297,0.02,0.00,10.00,0.00,0.29,311.60,0.03,-1.00,-0.60
2024-01-18T04:04:24.000Z,,23.40,99.89,5.00,0.00,0.06,0.18,23.50,38.621787,-90.219297,0.00,0.00,10.00,0.00,0.28,86.20,0.06,-0.90,-0.80
2024-01-18T04:19:24.000Z,,23.20,99.89,5.00,0.00,0.08,0.17,23.40,38.621787,-90.219297,-0.05,0.00,10.00,0.00,0.28,123.70,0.09,-0.80,-0.70
